Benchmark,Algoritmo,Vertices,Cores,Tempo(ms)
bench_1000_10.txt,DSATUR,1000,31,71.000
bench_1000_10.txt,RLF,1000,31,20.000
bench_1000_30.txt,DSATUR,1000,77,91.000
bench_1000_30.txt,RLF,1000,73,45.000
bench_1000_50.txt,DSATUR,1000,127,93.000
bench_1000_50.txt,RLF,1000,124,74.000
bench_100_10.txt,DSATUR,100,7,0.000
bench_100_10.txt,RLF,100,7,1.000
bench_100_30.txt,DSATUR,100,13,1.000
bench_100_30.txt,RLF,100,14,0.000
bench_100_50.txt,DSATUR,100,23,1.000
bench_100_50.txt,RLF,100,20,0.000
bench_2000_10.txt,DSATUR,2000,51,306.000
bench_2000_10.txt,RLF,2000,51,153.000
bench_2000_30.txt,DSATUR,2000,132,373.000
bench_2000_30.txt,RLF,2000,131,349.000
bench_2000_50.txt,DSATUR,2000,226,406.000
bench_2000_50.txt,RLF,2000,220,571.000
bench_200_10.txt,DSATUR,200,11,3.000
bench_200_10.txt,RLF,200,10,0.000
bench_200_30.txt,DSATUR,200,23,3.000
bench_200_30.txt,RLF,200,22,1.000
bench_200_50.txt,DSATUR,200,33,3.000
bench_200_50.txt,RLF,200,33,1.000
bench_500_10.txt,DSATUR,500,20,16.000
bench_500_10.txt,RLF,500,19,4.000
bench_500_30.txt,DSATUR,500,43,21.000
bench_500_30.txt,RLF,500,43,7.000
bench_500_50.txt,DSATUR,500,73,23.000
bench_500_50.txt,RLF,500,70,11.000
bench_50_10.txt,DSATUR,50,5,0.000
bench_50_10.txt,RLF,50,5,0.000
bench_50_30.txt,DSATUR,50,9,0.000
bench_50_30.txt,RLF,50,8,0.000
bench_50_50.txt,DSATUR,50,13,0.000
bench_50_50.txt,RLF,50,13,0.000
miles1500.txt,DSATUR,128,74,1.000
miles1500.txt,RLF,128,73,1.000
myciel7.txt,DSATUR,191,9,2.000
myciel7.txt,RLF,191,8,1.000
queen16_16.txt,DSATUR,256,23,4.000
queen16_16.txt,RLF,256,24,1.000
